,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA,innovation2
1514,564659,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1515,564662,-1.250567885132465,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1516,564668,-1.1804289083200667,1,0,0,1.0,0,0,1.0,1.0,0,0,0,4.0
1517,564670,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1518,564674,-0.8998730010704739,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1519,564677,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1520,564678,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1521,564679,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1522,564680,-1.0401509546952703,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1523,564683,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1524,564685,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1525,564688,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1526,564702,-0.8998730010704739,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1527,564705,-0.8998730010704739,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1528,564712,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1529,564713,-0.970011977882872,1,0,0,1.0,0,0,1.0,1.0,0,0,0,4.0
1530,564715,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1531,564718,-1.0401509546952703,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1532,564725,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1533,564728,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1534,564729,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1535,564730,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1536,564732,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1537,564733,-1.0401509546952703,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1538,564735,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1539,564736,-0.970011977882872,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1540,564742,-1.0401509546952703,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1541,564744,-1.1804289083200667,0,1,0,0.0,0,0,1.0,1.0,0,0,0,2.0
1542,564745,-1.1804289083200667,1,0,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1543,564747,-0.8297340242580756,0,1,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1544,564758,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1545,564759,-1.250567885132465,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1546,564760,-1.250567885132465,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1547,564762,-1.250567885132465,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1548,564766,-1.1102899315076686,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1549,564770,-1.1804289083200667,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1550,564776,-1.1804289083200667,1,0,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1551,564777,-1.1102899315076686,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1552,564778,-1.3207068619448634,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1553,564780,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1554,564781,-1.3207068619448634,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1555,564784,0.5730455119898892,1,0,0,0.0,0,0,1.0,1.0,0,0,0,1.0
1556,564786,1.8355470946130577,1,0,0,0.0,0,0,0.0,0.0,0,0,0,3.0
1557,564797,0.7133234656146857,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1558,564802,0.5730455119898892,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1559,564805,2.045964025050252,1,0,0,1.0,0,0,0.0,1.0,0,0,0,2.0
1560,564808,1.2042963033014733,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1561,564809,-0.6894560706332792,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1562,564813,0.222350627927898,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1563,564814,0.502906535177491,1,0,0,0.0,0,0,1.0,1.0,0,0,0,1.0
1564,564815,0.2924896047402963,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1565,564816,0.5730455119898892,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1566,564817,0.8536014192394822,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1567,564820,-0.1984832329464914,0,1,0,0.0,0,0,0.0,0.0,0,0,0,2.0
1568,564821,0.0820726743031015,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1569,564828,1.765408117800659,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1570,564831,-1.3207068619448634,0,0,1,0.0,0,0,0.0,1.0,0,0,0,3.0
1571,564836,0.2924896047402963,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1572,564841,-0.3387611865712879,1,0,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1573,564843,0.4327675583650927,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1574,564844,0.2924896047402963,0,1,0,0.0,0,0,0.0,1.0,0,0,0,1.0
1575,564845,0.783462442427084,1,0,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1576,564850,-0.4790391401960844,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1577,564853,1.2042963033014733,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1578,564854,0.0119336974907032,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1579,564856,-0.2686222097588897,1,0,0,0.0,0,0,1.0,1.0,0,0,0,4.0
1580,564859,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1581,564861,-0.1984832329464914,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1582,564875,0.9237403960518804,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1583,564876,0.9237403960518804,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1584,564878,-0.6193170938208808,0,1,0,0.0,0,0,0.0,0.0,0,0,0,2.0
1585,564883,0.0119336974907032,0,1,0,0.0,0,0,0.0,1.0,0,0,0,1.0
1586,564884,0.3626285815526945,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1587,564885,0.0119336974907032,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1588,564887,-0.1984832329464914,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1589,564894,0.0119336974907032,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1590,564896,0.7133234656146857,0,1,0,0.0,0,0,0.0,1.0,0,0,0,1.0
1591,564897,0.6431844888022875,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1592,564898,1.4848522105510664,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1593,564899,0.0820726743031015,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1594,564903,-0.3387611865712879,0,1,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1595,564912,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1596,564919,0.2924896047402963,0,1,0,0.0,0,0,0.0,0.0,0,0,0,1.0
1597,564920,0.1522116511154997,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1598,564924,0.0820726743031015,0,1,0,0.0,0,0,0.0,0.0,0,0,0,1.0
1599,564926,1.1341573264890752,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1600,564931,2.887631746799032,0,1,0,0.0,0,0,0.0,0.0,0,0,0,1.0
1601,564932,1.2744352801138716,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1602,564934,0.2924896047402963,0,1,0,0.0,0,0,0.0,1.0,0,0,0,1.0
1603,564936,0.0119336974907032,0,1,0,0.0,0,0,0.0,0.0,0,0,0,1.0
1604,564944,0.1522116511154997,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1605,564945,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1606,564952,-0.6894560706332792,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1607,564958,-0.1283442561340932,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1608,564961,1.4848522105510664,1,0,0,0.0,0,0,1.0,1.0,0,0,0,4.0
1609,564965,-1.0401509546952703,0,1,0,1.0,0,0,1.0,1.0,0,0,0,4.0
1610,564970,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1611,564974,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1612,564976,-0.970011977882872,0,1,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1613,564979,1.2744352801138716,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1614,564992,-0.8297340242580756,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1615,564993,-0.6193170938208808,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1616,564996,0.1522116511154997,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1617,565000,1.414713233738668,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1618,565006,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1619,565008,-0.1984832329464914,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1620,565009,-0.3387611865712879,0,1,0,0.0,0,0,0.0,1.0,0,0,0,1.0
1621,565012,-0.6894560706332792,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1622,565014,-0.4089001633836862,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1623,565015,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1624,565019,0.3626285815526945,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1625,565020,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1626,565024,-0.6894560706332792,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1627,565028,-0.6193170938208808,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
