,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Innovation,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA
794,531719,-0.1283442561340932,0,1,0,0.0,1.0,0,1,1.0,1.0,1,0,0
795,531720,0.502906535177491,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
796,531721,-0.19848323294649145,0,1,0,1.0,1.0,1,0,0.0,1.0,1,0,0
797,531723,0.011933697490703289,0,1,0,0.0,1.0,1,0,1.0,1.0,1,0,0
798,531724,-1.1804289083200667,1,0,0,0.0,1.0,1,0,0.0,1.0,1,0,0
799,531726,-0.9700119778828721,0,1,0,0.0,1.0,1,0,0.0,0.0,1,0,0
800,531727,-0.7595950474456774,0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0
801,531730,-0.8998730010704739,0,1,0,1.0,1.0,1,0,0.0,1.0,1,0,0
802,531731,-0.8297340242580756,0,1,0,1.0,1.0,1,0,0.0,1.0,1,0,0
803,531732,0.011933697490703289,0,1,0,0.0,1.0,1,0,0.0,0.0,1,0,0
804,531733,2.7473537931742347,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
805,531734,0.9938793728642786,0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0
806,531736,0.15221165111549978,0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0
807,531737,0.222350627927898,0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0
808,531739,0.011933697490703289,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
809,531740,-0.8998730010704739,0,1,0,0.0,1.0,1,0,0.0,1.0,1,0,0
810,531742,-0.19848323294649145,0,1,0,0.0,1.0,1,0,1.0,0.0,1,0,0
811,531744,-0.8998730010704739,0,0,1,0.0,1.0,1,0,0.0,0.0,1,0,0
812,531746,-0.5491781170084826,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
813,531747,0.43276755836509273,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
814,531748,0.3626285815526945,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
815,531749,1.34457425692627,1,0,0,0.0,1.0,0,1,1.0,1.0,1,0,0
816,531753,-0.058205279321694954,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
817,531754,-0.7595950474456774,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
818,531755,0.43276755836509273,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
819,531757,-0.8998730010704739,1,0,0,0.0,1.0,0,1,1.0,1.0,1,0,0
820,531759,-1.0401509546952703,1,0,0,1.0,1.0,0,1,1.0,1.0,1,0,0
821,531760,0.011933697490703289,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
822,531762,-0.5491781170084826,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
823,531764,0.5730455119898892,1,0,0,0.0,1.0,0,1,0.0,0.0,1,0,0
825,531766,0.08207267430310153,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
826,531767,-0.6193170938208808,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
827,531768,-1.1102899315076686,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
828,531769,0.011933697490703289,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
829,531772,-1.250567885132465,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
830,531773,0.8536014192394822,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
831,531775,-0.5491781170084826,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
832,531776,-0.6894560706332792,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
833,531777,-0.4790391401960844,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
834,531778,0.5730455119898892,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
835,531780,0.3626285815526945,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
836,531781,-0.4089001633836862,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
837,531784,-0.2686222097588897,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
838,531785,0.15221165111549978,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
839,531786,0.502906535177491,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
840,531787,-0.2686222097588897,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
841,531788,-0.7595950474456774,1,0,0,0.0,1.0,0,1,1.0,1.0,1,0,0
842,531789,-1.1102899315076686,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
843,531790,0.5730455119898892,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
844,531791,-0.058205279321694954,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
845,531792,-0.7595950474456774,1,0,0,1.0,1.0,0,1,1.0,1.0,1,0,0
846,531793,-0.8297340242580756,1,0,0,0.0,1.0,0,1,1.0,1.0,1,0,0
847,531794,-1.1804289083200667,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
848,531795,-0.8297340242580756,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
849,531796,0.011933697490703289,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
850,531797,0.011933697490703289,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
851,531798,0.011933697490703289,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
852,531799,-0.8297340242580756,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
853,531801,-0.6193170938208808,1,0,0,0.0,1.0,0,1,1.0,0.0,1,0,0
